Index,Title,Year,Rating,User_Rating_Count,tmdb_id,imdb_id
185,Sing Street,2016,7.9,106K,369557,tt3544112
186,Wolf Children,2012,8.1,54K,110420,tt2140203
187,Drishyam 2,2022,8.2,51K,1029827,tt15501640
188,When Marnie Was There,2014,7.6,54K,242828,tt3398268
189,They Call Me Trinity,1970,7.4,27K,9394,tt0067355
190,Summer Wars,2009,7.4,34K,28874,tt1474276
191,My Life as a Zucchini,2016,7.8,32K,393559,tt2321405
192,Safe,1995,7.1,19K,32646,tt0114323
193,The Boy and the Beast,2015,7.6,29K,315465,tt4272866
194,The Hole,1960,8.5,23K,33725,tt0052896
195,Gun Crazy,1950,7.6,16K,18671,tt0042530
196,Sijjin 3: Love,2016,6.0,3.7K,414827,tt6029122
197,The Substance,2024,7.2,380K,933260,tt17526714
198,Thunderbolts*,2025,7.1,249K,986056,tt20969586
199,Anora,2024,7.4,249K,1064213,tt28607951
200,Final Destination: Bloodlines,2025,6.7,145K,574475,tt9619824
201,Rogue One: A Star Wars Story,2016,7.8,743K,330459,tt3748528
202,American Pie,1999,7.0,462K,2105,tt0163651
203,Little Miss Sunshine,2006,7.8,550K,773,tt0449059
204,Skyfall,2012,7.8,764K,37724,tt1074638
205,American Gangster,2007,7.8,480K,4982,tt0765429
206,Basic Instinct,1992,7.1,239K,402,tt0103772
207,Charlie and the Chocolate Factory,2005,6.7,563K,118,tt0367594
208,Gifted,2017,7.6,156K,400928,tt4481414
209,Insidious,2010,6.8,362K,49018,tt1591095
210,The Florida Project,2017,7.6,144K,394117,tt5649144
211,Jujutsu Kaisen 0,2021,7.8,56K,810693,tt14331144
212,Finding Dory,2016,7.2,328K,127380,tt2277860
213,Enchanted,2007,7.1,227K,4523,tt0461770
214,Stranger Than Fiction,2006,7.5,244K,1262,tt0420223
215,Dear John,2010,6.3,163K,22971,tt0989757
216,Ruby Sparks,2012,7.2,108K,103332,tt1839492
217,The Eight Immortals Restaurant: The Untold Story,1993,6.8,5.2K,39857,tt0103743
